Date,N Hot Pixel,meanTI,maxTI,maxDist,maxDist Summit,N Hot Pixel Summit,N Cluster
30-Dec-2020 15:07:21,0,NaN,NaN,NaN,NaN,0,0
04-Jan-2021 15:07:23,0,NaN,NaN,NaN,NaN,0,0
09-Jan-2021 15:07:22,0,NaN,NaN,NaN,NaN,0,0
14-Jan-2021 15:07:24,0,NaN,NaN,NaN,NaN,0,0
19-Jan-2021 15:07:23,0,NaN,NaN,NaN,NaN,0,0
24-Jan-2021 15:07:23,0,NaN,NaN,NaN,NaN,0,0
29-Jan-2021 15:07:23,4,0.280475,0.2993,212.602916254693,212.602916254693,4,1
03-Feb-2021 15:07:23,0,NaN,NaN,NaN,NaN,0,0
08-Feb-2021 15:07:22,0,NaN,NaN,NaN,NaN,0,0
13-Feb-2021 15:07:22,0,NaN,NaN,NaN,NaN,0,0
18-Feb-2021 15:07:20,0,NaN,NaN,NaN,NaN,0,0
23-Feb-2021 15:07:23,0,NaN,NaN,NaN,NaN,0,0
05-Mar-2021 15:07:23,0,NaN,NaN,NaN,NaN,0,0
10-Mar-2021 15:07:22,55,1.67412,1.9959,320.624390837628,320.624390837628,55,1
15-Mar-2021 15:07:22,0,NaN,NaN,NaN,NaN,0,0
20-Mar-2021 15:07:22,0,NaN,NaN,NaN,NaN,0,0
25-Mar-2021 15:07:21,33,1.17460303030303,1.5531,297.32137494637,297.32137494637,33,1
30-Mar-2021 15:07:21,0,NaN,NaN,NaN,NaN,0,0
04-Apr-2021 15:07:19,0,NaN,NaN,NaN,NaN,0,0
09-Apr-2021 15:07:20,17,0.946582352941176,1.1821,286.356421265527,286.356421265527,17,1
19-Apr-2021 15:07:18,62,0.880458064516129,1.7157,310.4834939252,310.4834939252,62,4
24-Apr-2021 15:07:19,65,1.4117,2.1463,325.576411921994,325.576411921994,65,1
29-Apr-2021 15:07:19,70,1.14970428571429,1.8524,322.490309931942,322.490309931942,70,3
04-May-2021 15:07:21,53,0.947088679245283,2.1495,310.4834939252,310.4834939252,53,2
09-May-2021 15:07:21,19,1.59335789473684,2.2844,286.356421265527,286.356421265527,19,1
14-May-2021 15:07:23,10,0.71906,0.874,280.713376952364,280.713376952364,10,2
19-May-2021 15:07:23,27,0.945025925925926,1.9098,300,300,27,4
24-May-2021 15:07:23,0,NaN,NaN,NaN,NaN,0,0
29-May-2021 15:07:24,28,0.639553571428571,1.0689,305.941170815567,305.941170815567,28,5
03-Jun-2021 15:07:24,88,0.768069318181818,1.7506,325.576411921994,325.576411921994,88,2
08-Jun-2021 15:07:24,19,0.895910526315789,1.4244,329.848450049413,329.848450049413,19,2
13-Jun-2021 15:07:23,47,1.60805957446809,2.4996,322.490309931942,322.490309931942,47,2
18-Jun-2021 15:07:24,38,0.900331578947368,1.1886,304.630924234556,304.630924234556,38,3
23-Jun-2021 15:07:24,0,NaN,NaN,NaN,NaN,0,0
28-Jun-2021 15:07:24,11,1.02157272727273,1.2813,297.32137494637,297.32137494637,11,2
03-Jul-2021 15:07:25,71,0.756883098591549,1.6255,305.941170815567,305.941170815567,71,3
08-Jul-2021 15:07:25,40,0.8506625,1.6765,286.356421265527,286.356421265527,40,4
13-Jul-2021 15:07:26,44,1.71547045454545,2.6565,320.624390837628,320.624390837628,44,1
18-Jul-2021 15:07:25,69,1.01056811594203,2.1157,316.227766016838,316.227766016838,69,5
23-Jul-2021 15:07:26,27,1.11648888888889,2.0428,305.941170815567,305.941170815567,27,2
28-Jul-2021 15:07:25,0,NaN,NaN,NaN,NaN,0,0
02-Aug-2021 15:07:26,42,0.835814285714285,1.1376,313.049516849971,313.049516849971,42,3
07-Aug-2021 15:07:24,0,NaN,NaN,NaN,NaN,0,0
12-Aug-2021 15:07:25,31,0.632925806451613,1.2039,263.058928759318,263.058928759318,31,5
